phase	start	end	ops	ccx	ccz	hmr	reset
tlm_apply_inverse_mod_sub_register	2804743	2811380	6637	710	9	453	461
tlm_apply_inverse_mod_sub_fold	2811380	2812197	817	70	4	70	70
tlm_apply_inverse_mod_sub_clean	2812197	2812513	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2812513	2812680	167	16	0	4	7
tlm_inverse_gcd_forward_shift	2812680	2812890	210	51	0	0	2
tlm_inverse_gcd_forward_compare	2812890	2813671	781	120	0	35	36
tlm_inverse_gcd_forward_body	2813671	2814662	991	118	1	66	68
tlm_apply_inverse_fold	2814662	2817115	2453	350	0	94	129
tlm_apply_inverse_swap	2817115	2817883	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2817883	2824222	6339	689	8	432	440
tlm_apply_inverse_mod_sub_fold	2824222	2825009	787	69	3	67	67
tlm_apply_inverse_mod_sub_clean	2825009	2825325	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2825325	2825328	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2825328	2825534	206	50	0	0	2
tlm_inverse_gcd_forward_compare	2825534	2826298	764	118	0	34	35
tlm_inverse_gcd_forward_body	2826298	2827274	976	116	1	65	67
tlm_apply_inverse_fold	2827274	2829727	2453	350	0	94	129
tlm_apply_inverse_swap	2829727	2830495	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2830495	2837132	6637	710	9	453	461
tlm_apply_inverse_mod_sub_fold	2837132	2837949	817	70	4	70	70
tlm_apply_inverse_mod_sub_clean	2837949	2838265	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2838265	2838268	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2838268	2838470	202	49	0	0	2
tlm_inverse_gcd_forward_compare	2838470	2839217	747	116	0	33	34
tlm_inverse_gcd_forward_body	2839217	2840178	961	114	1	64	66
tlm_apply_inverse_fold	2840178	2842631	2453	350	0	94	129
tlm_apply_inverse_swap	2842631	2843399	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2843399	2850050	6651	711	9	454	462
tlm_apply_inverse_mod_sub_fold	2850050	2850873	823	72	4	70	70
tlm_apply_inverse_mod_sub_clean	2850873	2851189	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2851189	2851356	167	16	0	4	7
tlm_inverse_gcd_forward_shift	2851356	2851554	198	48	0	0	2
tlm_inverse_gcd_forward_compare	2851554	2852296	742	112	0	34	35
tlm_inverse_gcd_forward_body	2852296	2853214	918	110	1	61	63
tlm_apply_inverse_fold	2853214	2855667	2453	350	0	94	129
tlm_apply_inverse_swap	2855667	2856435	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2856435	2863072	6637	710	9	453	461
tlm_apply_inverse_mod_sub_fold	2863072	2863889	817	70	4	70	70
tlm_apply_inverse_mod_sub_clean	2863889	2864205	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2864205	2864208	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2864208	2864402	194	47	0	0	2
tlm_inverse_gcd_forward_compare	2864402	2865127	725	110	0	33	34
tlm_inverse_gcd_forward_body	2865127	2866030	903	108	1	60	62
tlm_apply_inverse_fold	2866030	2868483	2453	350	0	94	129
tlm_apply_inverse_swap	2868483	2869251	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2869251	2875902	6651	711	9	454	462
tlm_apply_inverse_mod_sub_fold	2875902	2876725	823	72	4	70	70
tlm_apply_inverse_mod_sub_clean	2876725	2877041	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2877041	2877044	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2877044	2877234	190	46	0	0	2
tlm_inverse_gcd_forward_compare	2877234	2877942	708	108	0	32	33
tlm_inverse_gcd_forward_body	2877942	2878830	888	106	1	59	61
tlm_apply_inverse_fold	2878830	2881283	2453	350	0	94	129
tlm_apply_inverse_swap	2881283	2882051	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2882051	2888931	6880	727	10	470	479
tlm_apply_inverse_mod_sub_fold	2888931	2889774	843	72	5	72	72
tlm_apply_inverse_mod_sub_clean	2889774	2890090	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2890090	2890257	167	16	0	4	7
tlm_inverse_gcd_forward_shift	2890257	2890443	186	45	0	0	2
tlm_inverse_gcd_forward_compare	2890443	2891146	703	104	0	33	34
tlm_inverse_gcd_forward_body	2891146	2891991	845	102	1	56	58
tlm_apply_inverse_fold	2891991	2894444	2453	350	0	94	129
tlm_apply_inverse_swap	2894444	2895212	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2895212	2901863	6651	711	9	454	462
tlm_apply_inverse_mod_sub_fold	2901863	2902686	823	72	4	70	70
tlm_apply_inverse_mod_sub_clean	2902686	2903002	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2903002	2903005	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2903005	2903187	182	44	0	0	2
tlm_inverse_gcd_forward_compare	2903187	2903873	686	102	0	32	33
tlm_inverse_gcd_forward_body	2903873	2904703	830	100	1	55	57
tlm_apply_inverse_fold	2904703	2907156	2453	350	0	94	129
tlm_apply_inverse_swap	2907156	2907924	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2907924	2914804	6880	727	10	470	479
tlm_apply_inverse_mod_sub_fold	2914804	2915647	843	72	5	72	72
tlm_apply_inverse_mod_sub_clean	2915647	2915963	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2915963	2915966	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2915966	2916144	178	43	0	0	2
tlm_inverse_gcd_forward_compare	2916144	2916821	677	102	0	31	32
tlm_inverse_gcd_forward_body	2916821	2917636	815	98	1	54	56
tlm_apply_inverse_fold	2917636	2920089	2453	350	0	94	129
tlm_apply_inverse_swap	2920089	2920857	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2920857	2928013	7156	747	11	490	491
tlm_apply_inverse_mod_sub_fold	2928013	2928854	841	72	5	72	72
tlm_apply_inverse_mod_sub_clean	2928854	2929170	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2929170	2929337	167	16	0	4	7
tlm_inverse_gcd_forward_shift	2929337	2929511	174	42	0	0	2
tlm_inverse_gcd_forward_compare	2929511	2930183	672	98	0	32	33
tlm_inverse_gcd_forward_body	2930183	2930955	772	94	1	51	53
tlm_apply_inverse_fold	2930955	2933408	2453	350	0	94	129
tlm_apply_inverse_swap	2933408	2934176	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2934176	2941056	6880	727	10	470	479
tlm_apply_inverse_mod_sub_fold	2941056	2941899	843	72	5	72	72
tlm_apply_inverse_mod_sub_clean	2941899	2942215	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2942215	2942218	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2942218	2942388	170	41	0	0	2
tlm_inverse_gcd_forward_compare	2942388	2943043	655	96	0	31	32
tlm_inverse_gcd_forward_body	2943043	2943800	757	92	1	50	52
tlm_apply_inverse_fold	2943800	2946253	2453	350	0	94	129
tlm_apply_inverse_swap	2946253	2947021	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2947021	2954177	7156	747	11	490	491
tlm_apply_inverse_mod_sub_fold	2954177	2955018	841	72	5	72	72
tlm_apply_inverse_mod_sub_clean	2955018	2955334	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2955334	2955337	3	0	0	0	0
tlm_inverse_gcd_forward_shift	2955337	2955503	166	40	0	0	2
tlm_inverse_gcd_forward_compare	2955503	2956141	638	94	0	30	31
tlm_inverse_gcd_forward_body	2956141	2956883	742	90	1	49	51
tlm_apply_inverse_fold	2956883	2959336	2453	350	0	94	129
tlm_apply_inverse_swap	2959336	2960104	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	2960104	2967292	7188	749	12	492	493
tlm_apply_inverse_mod_sub_fold	2967292	2968157	865	75	6	73	73
tlm_apply_inverse_mod_sub_clean	2968157	2968473	316	19	0	20	22
tlm_inverse_gcd_forward_codec	2968473	2968640	167	16	0	4	7
tlm_inverse_gcd_forward_shift	2968640	2968802	162	39	0	0	2
tlm_inverse_gcd_forward_compare	2968802	2969435	633	90	0	31	32
