phase	start	end	ops	ccx	ccz	hmr	reset
tlm_inverse_gcd_forward_compare	386735	387944	1209	277	0	34	35
tlm_inverse_gcd_forward_body	387944	392428	4484	544	3	302	305
tlm_apply_inverse_fold	392428	394148	1720	310	0	54	62
tlm_apply_inverse_swap	394148	394916	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	394916	399377	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	399377	400036	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	400036	400352	316	19	0	20	22
tlm_inverse_gcd_forward_codec	400352	400355	3	0	0	0	0
tlm_inverse_gcd_forward_shift	400355	401321	966	240	0	0	2
tlm_inverse_gcd_forward_compare	401321	402527	1206	276	0	34	35
tlm_inverse_gcd_forward_body	402527	406996	4469	542	3	301	304
tlm_apply_inverse_fold	406996	408716	1720	310	0	54	62
tlm_apply_inverse_swap	408716	409484	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	409484	413945	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	413945	414604	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	414604	414920	316	19	0	20	22
tlm_inverse_gcd_forward_codec	414920	415086	166	18	0	4	7
tlm_inverse_gcd_forward_shift	415086	416048	962	239	0	0	2
tlm_inverse_gcd_forward_compare	416048	417237	1189	274	0	33	34
tlm_inverse_gcd_forward_body	417237	421691	4454	540	3	300	303
tlm_apply_inverse_fold	421691	423411	1720	310	0	54	62
tlm_apply_inverse_swap	423411	424179	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	424179	428640	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	428640	429299	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	429299	429615	316	19	0	20	22
tlm_inverse_gcd_forward_codec	429615	429618	3	0	0	0	0
tlm_inverse_gcd_forward_shift	429618	430576	958	238	0	0	2
tlm_inverse_gcd_forward_compare	430576	431762	1186	273	0	33	34
tlm_inverse_gcd_forward_body	431762	436201	4439	538	3	299	302
tlm_apply_inverse_fold	436201	437921	1720	310	0	54	62
tlm_apply_inverse_swap	437921	438689	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	438689	443150	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	443150	443809	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	443809	444125	316	19	0	20	22
tlm_inverse_gcd_forward_codec	444125	444128	3	0	0	0	0
tlm_inverse_gcd_forward_shift	444128	445082	954	237	0	0	2
tlm_inverse_gcd_forward_compare	445082	446279	1197	273	0	34	35
tlm_inverse_gcd_forward_body	446279	450703	4424	536	3	298	301
tlm_apply_inverse_fold	450703	452423	1720	310	0	54	62
tlm_apply_inverse_swap	452423	453191	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	453191	457652	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	457652	458311	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	458311	458627	316	19	0	20	22
tlm_inverse_gcd_forward_codec	458627	458793	166	18	0	4	7
tlm_inverse_gcd_forward_shift	458793	459743	950	236	0	0	2
tlm_inverse_gcd_forward_compare	459743	460923	1180	271	0	33	34
tlm_inverse_gcd_forward_body	460923	465332	4409	534	3	297	300
tlm_apply_inverse_fold	465332	467052	1720	310	0	54	62
tlm_apply_inverse_swap	467052	467820	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	467820	472281	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	472281	472940	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	472940	473256	316	19	0	20	22
tlm_inverse_gcd_forward_codec	473256	473259	3	0	0	0	0
tlm_inverse_gcd_forward_shift	473259	474205	946	235	0	0	2
tlm_inverse_gcd_forward_compare	474205	475382	1177	270	0	33	34
tlm_inverse_gcd_forward_body	475382	479776	4394	532	3	296	299
tlm_apply_inverse_fold	479776	481496	1720	310	0	54	62
tlm_apply_inverse_swap	481496	482264	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	482264	486725	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	486725	487384	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	487384	487700	316	19	0	20	22
tlm_inverse_gcd_forward_codec	487700	487703	3	0	0	0	0
tlm_inverse_gcd_forward_shift	487703	488645	942	234	0	0	2
tlm_inverse_gcd_forward_compare	488645	489847	1202	271	0	35	36
tlm_inverse_gcd_forward_body	489847	494226	4379	530	3	295	298
tlm_apply_inverse_fold	494226	495946	1720	310	0	54	62
tlm_apply_inverse_swap	495946	496714	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	496714	501175	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	501175	501834	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	501834	502150	316	19	0	20	22
tlm_inverse_gcd_forward_codec	502150	502316	166	18	0	4	7
tlm_inverse_gcd_forward_shift	502316	503254	938	233	0	0	2
tlm_inverse_gcd_forward_compare	503254	504425	1171	268	0	33	34
tlm_inverse_gcd_forward_body	504425	508789	4364	528	3	294	297
tlm_apply_inverse_fold	508789	510509	1720	310	0	54	62
tlm_apply_inverse_swap	510509	511277	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	511277	515738	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	515738	516397	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	516397	516713	316	19	0	20	22
tlm_inverse_gcd_forward_codec	516713	516716	3	0	0	0	0
tlm_inverse_gcd_forward_shift	516716	517650	934	232	0	0	2
tlm_inverse_gcd_forward_compare	517650	518832	1182	268	0	34	35
tlm_inverse_gcd_forward_body	518832	523181	4349	526	3	293	296
tlm_apply_inverse_fold	523181	524901	1720	310	0	54	62
tlm_apply_inverse_swap	524901	525669	768	256	0	0	0
