k,u_before,v_before,tape_bit,sum,u_after,v_after
213,80879821253841403029114497271501148040681070508586789971530356883453,80879821253841403029114497271501148040681070508586789980326449905661,0,161759642507682806058228994543002296081362141017173579951856806789114,80879821253841403029114497271501148040681070508586789975928403394557,80879821253841403029114497271501148040681070508586789980326449905661
214,80879821253841403029114497271501148040681070508586789975928403394557,80879821253841403029114497271501148040681070508586789980326449905661,0,161759642507682806058228994543002296081362141017173579956254853300218,80879821253841403029114497271501148040681070508586789975928403394557,80879821253841403029114497271501148040681070508586789978127426650109
215,80879821253841403029114497271501148040681070508586789975928403394557,80879821253841403029114497271501148040681070508586789978127426650109,0,161759642507682806058228994543002296081362141017173579954055830044666,80879821253841403029114497271501148040681070508586789977027915022333,80879821253841403029114497271501148040681070508586789978127426650109
216,80879821253841403029114497271501148040681070508586789977027915022333,80879821253841403029114497271501148040681070508586789978127426650109,0,161759642507682806058228994543002296081362141017173579955155341672442,80879821253841403029114497271501148040681070508586789977027915022333,80879821253841403029114497271501148040681070508586789977577670836221
217,80879821253841403029114497271501148040681070508586789977027915022333,80879821253841403029114497271501148040681070508586789977577670836221,0,161759642507682806058228994543002296081362141017173579954605585858554,80879821253841403029114497271501148040681070508586789977302792929277,80879821253841403029114497271501148040681070508586789977577670836221
218,80879821253841403029114497271501148040681070508586789977302792929277,80879821253841403029114497271501148040681070508586789977577670836221,0,161759642507682806058228994543002296081362141017173579954880463765498,80879821253841403029114497271501148040681070508586789977302792929277,80879821253841403029114497271501148040681070508586789977440231882749
219,80879821253841403029114497271501148040681070508586789977302792929277,80879821253841403029114497271501148040681070508586789977440231882749,0,161759642507682806058228994543002296081362141017173579954743024812026,80879821253841403029114497271501148040681070508586789977371512406013,80879821253841403029114497271501148040681070508586789977440231882749
220,80879821253841403029114497271501148040681070508586789977371512406013,80879821253841403029114497271501148040681070508586789977440231882749,0,161759642507682806058228994543002296081362141017173579954811744288762,80879821253841403029114497271501148040681070508586789977371512406013,80879821253841403029114497271501148040681070508586789977405872144381
221,80879821253841403029114497271501148040681070508586789977371512406013,80879821253841403029114497271501148040681070508586789977405872144381,0,161759642507682806058228994543002296081362141017173579954777384550394,80879821253841403029114497271501148040681070508586789977388692275197,80879821253841403029114497271501148040681070508586789977405872144381
222,80879821253841403029114497271501148040681070508586789977388692275197,80879821253841403029114497271501148040681070508586789977405872144381,0,161759642507682806058228994543002296081362141017173579954794564419578,80879821253841403029114497271501148040681070508586789977388692275197,80879821253841403029114497271501148040681070508586789977397282209789
