k_zero_based,round_one_based,base704,rounds736,widths_guarded736,proposed_taper768,proposed_full259_768,proved_sufficient_ordinary_width258
414,415,123,123,139,139,259,258
415,416,123,123,139,139,259,258
416,417,123,123,139,139,259,258
417,418,122,122,138,138,259,258
418,419,122,122,138,138,259,258
419,420,121,121,137,137,259,258
420,421,121,121,137,137,259,258
421,422,121,121,137,137,259,258
422,423,120,120,136,136,259,258
423,424,120,120,136,136,259,258
424,425,119,119,135,135,259,258
425,426,119,119,135,135,259,258
426,427,119,119,135,135,259,258
427,428,118,118,134,134,259,258
428,429,118,118,134,134,259,258
429,430,117,117,133,133,259,258
430,431,117,117,133,133,259,258
431,432,117,117,133,133,259,258
432,433,116,116,132,132,259,258
433,434,116,116,132,132,259,258
434,435,115,115,131,131,259,258
435,436,115,115,131,131,259,258
436,437,115,115,131,131,259,258
437,438,114,114,130,130,259,258
438,439,114,114,130,130,259,258
439,440,113,113,129,129,259,258
440,441,113,113,129,129,259,258
441,442,113,113,129,129,259,258
442,443,112,112,128,128,259,258
443,444,112,112,128,128,259,258
444,445,111,111,127,127,259,258
445,446,111,111,127,127,259,258
446,447,111,111,127,127,259,258
447,448,110,110,126,126,259,258
448,449,110,110,126,126,259,258
449,450,109,109,125,125,259,258
450,451,109,109,125,125,259,258
451,452,109,109,125,125,259,258
452,453,108,108,124,124,259,258
453,454,108,108,124,124,259,258
454,455,107,107,123,123,259,258
455,456,107,107,123,123,259,258
456,457,107,107,123,123,259,258
457,458,106,106,122,122,259,258
458,459,106,106,122,122,259,258
459,460,105,105,121,121,259,258
460,461,105,105,121,121,259,258
461,462,105,105,121,121,259,258
462,463,104,104,120,120,259,258
463,464,104,104,120,120,259,258
464,465,103,103,119,119,259,258
465,466,103,103,119,119,259,258
466,467,103,103,119,119,259,258
467,468,102,102,118,118,259,258
468,469,102,102,118,118,259,258
469,470,101,101,117,117,259,258
470,471,101,101,117,117,259,258
471,472,101,101,117,117,259,258
472,473,100,100,116,116,259,258
473,474,100,100,116,116,259,258
474,475,99,99,115,115,259,258
475,476,99,99,115,115,259,258
476,477,99,99,115,115,259,258
477,478,98,98,114,114,259,258
478,479,98,98,114,114,259,258
479,480,97,97,113,113,259,258
480,481,97,97,113,113,259,258
481,482,97,97,113,113,259,258
482,483,96,96,112,112,259,258
483,484,96,96,112,112,259,258
484,485,95,95,111,111,259,258
485,486,95,95,111,111,259,258
486,487,95,95,111,111,259,258
487,488,94,94,110,110,259,258
488,489,94,94,110,110,259,258
489,490,93,93,109,109,259,258
490,491,93,93,109,109,259,258
491,492,93,93,109,109,259,258
492,493,92,92,108,108,259,258
493,494,92,92,108,108,259,258
494,495,91,91,107,107,259,258
495,496,91,91,107,107,259,258
496,497,91,91,107,107,259,258
497,498,90,90,106,106,259,258
498,499,90,90,106,106,259,258
499,500,89,89,105,105,259,258
500,501,89,89,105,105,259,258
501,502,89,89,105,105,259,258
502,503,88,88,104,104,259,258
503,504,88,88,104,104,259,258
504,505,87,87,103,103,259,258
505,506,87,87,103,103,259,258
506,507,87,87,103,103,259,258
507,508,86,86,102,102,259,258
508,509,86,86,102,102,259,258
509,510,85,85,101,101,259,258
510,511,85,85,101,101,259,258
511,512,85,85,101,101,259,258
512,513,84,84,100,100,259,258
513,514,84,84,100,100,259,258
514,515,83,83,99,99,259,258
515,516,83,83,99,99,259,258
516,517,83,83,99,99,259,258
517,518,82,82,98,98,259,258
518,519,82,82,98,98,259,258
519,520,81,81,97,97,259,258
520,521,81,81,97,97,259,258
521,522,81,81,97,97,259,258
522,523,80,80,96,96,259,258
523,524,80,80,96,96,259,258
524,525,79,79,95,95,259,258
525,526,79,79,95,95,259,258
526,527,79,79,95,95,259,258
527,528,78,78,94,94,259,258
528,529,78,78,94,94,259,258
529,530,77,77,93,93,259,258
530,531,77,77,93,93,259,258
531,532,77,77,93,93,259,258
532,533,76,76,92,92,259,258
533,534,76,76,92,92,259,258
534,535,75,75,91,91,259,258
535,536,75,75,91,91,259,258
536,537,75,75,91,91,259,258
537,538,74,74,90,90,259,258
538,539,74,74,90,90,259,258
539,540,73,73,89,89,259,258
540,541,73,73,89,89,259,258
541,542,73,73,89,89,259,258
542,543,72,72,88,88,259,258
543,544,72,72,88,88,259,258
544,545,71,71,87,87,259,258
545,546,71,71,87,87,259,258
546,547,71,71,87,87,259,258
547,548,70,70,86,86,259,258
548,549,70,70,86,86,259,258
549,550,69,69,85,85,259,258
550,551,69,69,85,85,259,258
551,552,69,69,85,85,259,258
552,553,68,68,84,84,259,258
553,554,68,68,84,84,259,258
554,555,67,67,83,83,259,258
555,556,67,67,83,83,259,258
556,557,67,67,83,83,259,258
557,558,66,66,82,82,259,258
558,559,66,66,82,82,259,258
559,560,65,65,81,81,259,258
560,561,65,65,81,81,259,258
561,562,65,65,81,81,259,258
562,563,64,64,80,80,259,258
563,564,64,64,80,80,259,258
564,565,63,63,79,79,259,258
565,566,63,63,79,79,259,258
566,567,63,63,79,79,259,258
567,568,62,62,78,78,259,258
568,569,62,62,78,78,259,258
569,570,61,61,77,77,259,258
570,571,61,61,77,77,259,258
571,572,61,61,77,77,259,258
572,573,60,60,76,76,259,258
573,574,60,60,76,76,259,258
574,575,59,59,75,75,259,258
575,576,59,59,75,75,259,258
576,577,59,59,75,75,259,258
577,578,58,58,74,74,259,258
578,579,58,58,74,74,259,258
579,580,57,57,73,73,259,258
580,581,57,57,73,73,259,258
581,582,57,57,73,73,259,258
582,583,56,56,72,72,259,258
583,584,56,56,72,72,259,258
584,585,55,55,71,71,259,258
585,586,55,55,71,71,259,258
586,587,55,55,71,71,259,258
587,588,54,54,70,70,259,258
588,589,54,54,70,70,259,258
589,590,53,53,69,69,259,258
590,591,53,53,69,69,259,258
591,592,53,53,69,69,259,258
592,593,52,52,68,68,259,258
593,594,52,52,68,68,259,258
594,595,51,51,67,67,259,258
595,596,51,51,67,67,259,258
596,597,51,51,67,67,259,258
597,598,50,50,66,66,259,258
598,599,50,50,66,66,259,258
599,600,49,49,65,65,259,258
600,601,49,49,65,65,259,258
601,602,49,49,65,65,259,258
602,603,48,48,64,64,259,258
603,604,48,48,64,64,259,258
604,605,47,47,63,63,259,258
605,606,47,47,63,63,259,258
606,607,47,47,63,63,259,258
607,608,46,46,62,62,259,258
608,609,46,46,62,62,259,258
609,610,45,45,61,61,259,258
610,611,45,45,61,61,259,258
611,612,45,45,61,61,259,258
612,613,44,44,60,60,259,258
613,614,44,44,60,60,259,258
614,615,43,43,59,59,259,258
615,616,43,43,59,59,259,258
616,617,43,43,59,59,259,258
617,618,42,42,58,58,259,258
618,619,42,42,58,58,259,258
619,620,41,41,57,57,259,258
620,621,41,41,57,57,259,258
621,622,41,41,57,57,259,258
622,623,40,40,56,56,259,258
623,624,40,40,56,56,259,258
624,625,39,39,55,55,259,258
625,626,39,39,55,55,259,258
626,627,39,39,55,55,259,258
627,628,38,38,54,54,259,258
628,629,38,38,54,54,259,258
629,630,37,37,53,53,259,258
630,631,37,37,53,53,259,258
631,632,37,37,53,53,259,258
632,633,36,36,52,52,259,258
633,634,36,36,52,52,259,258
634,635,35,35,51,51,259,258
635,636,35,35,51,51,259,258
636,637,35,35,51,51,259,258
637,638,34,34,50,50,259,258
638,639,34,34,50,50,259,258
639,640,33,33,49,49,259,258
640,641,33,33,49,49,259,258
641,642,33,33,49,49,259,258
642,643,32,32,48,48,259,258
643,644,32,32,48,48,259,258
644,645,31,31,47,47,259,258
645,646,31,31,47,47,259,258
646,647,31,31,47,47,259,258
647,648,30,30,46,46,259,258
648,649,30,30,46,46,259,258
649,650,29,29,45,45,259,258
650,651,29,29,45,45,259,258
651,652,29,29,45,45,259,258
652,653,28,28,44,44,259,258
653,654,28,28,44,44,259,258
654,655,27,27,43,43,259,258
655,656,27,27,43,43,259,258
656,657,27,27,43,43,259,258
657,658,26,26,42,42,259,258
658,659,26,26,42,42,259,258
659,660,25,25,41,41,259,258
660,661,25,25,41,41,259,258
661,662,25,25,41,41,259,258
662,663,24,24,40,40,259,258
663,664,24,24,40,40,259,258
664,665,23,23,39,39,259,258
665,666,23,23,39,39,259,258
666,667,23,23,39,39,259,258
667,668,22,22,38,38,259,258
668,669,22,22,38,38,259,258
