label	got_x	got_y	classical	phase	ancilla	interface_ok
47	0xad9f59f7f7000468ea571385e51910b08421525697aae28e8a615944cd2d4554	0xaa1a191e00d7d7ac72ea0c5460b5f111f90505799ea9a384caf0133f4883b62	0	0	0	true
48	0x6d02102b3580e0e691fbf856e6b62b05895dd6a649b63972c4bc37db4984e2d8	0x719db94613706fb77e7cceb01a6a59c9809bb40a1f92f0387efba8e282b4ad14	0	0	0	true
49	0x1a7bdcf62ee8270726236d5675bbde8f893f13c8c13b6bec8cbd4d1316e088d1	0x31036f5c4a6e213bc8ea38a56e7109ed8173aff498942f2e261706e33c7e02b0	0	0	0	true
50	0x65ab87550b987841ae3199f301521c56ad162962f837ef324f5645e5f2c90b21	0x17e5f75d3a23ef4e39751f8402c0f5b75e959e9ff50439eb6e2b742b755f7200	1	0	0	true
51	0x354f5e6e19377cc0e5983f149ff74df3b4f133ca83ca6c946fdf3b2d4e926b02	0x3d079588aa6fa2f8beba9636b4dce56bf39ecc30b3f9666fca950bcd10ccf558	0	0	0	true
52	0x18f89ae1c436967e600e8bcd571677c2fa6dfcf8e092ed9e83c24d2431a5eb96	0xa1694378182fe54dd3d7cd361007bedf2541874da72187826ab658c3195de080	0	0	0	true
53	0xf6cbe36723df257ab8b1e6a6ea81bfeebb0a08423a5996acd54f42c396b3d0f4	0xdf34b05233f052b3234c7afde40492324f4210b6d78806159f25614da1fe846a	0	0	0	true
54	0xa2f61c6043fbeb1b1dbe688aa18671809cdbdce9de4e052a65856e3078d75850	0x2cdf31181ace9c7ae62a235831a72b7e67e9341b1ecbe2a4e7152cb460c150d	0	0	0	true
55	0x192b81ce463faa8236663e765455ff6642ea25902bac295352039c44054c93e6	0xc0929b16fe1606043e43c7647e3f64ed88e3492acb22b5b1d389f31ba0cef0a1	1	0	0	true
56	0x9c3e1288e6c229bc82a23267ef962b1d467dea2a3a45648843044616a1a864c8	0x471e5d1a1814b92a16a51f25124744acca95764b67f4ff113fe9c7312546d7f3	0	0	0	true
57	0x3425f1e11d1ed671d44df38e96295abfd3d6e479d40191d0843f14dad26ab252	0x67d968dad653184aaa0ae3e81a2570ea090af77711669147c2c211f38a8e300e	0	0	0	true
58	0x50ba5c7eed696b0cb36b77dd0a8e7062c265147bfffe495d02971523786e0909	0xca6fef3540879b9f32a1ac121dbfcb36ed06235f1ff27c2aa235e7b56cafff46	0	0	0	true
59	0x5f680b18a09354fd802ef9448cdc16ceb3a0ce465f8d4cc4c5bb4606dc379aa7	0x509aba899d0cc527be834be2078add723c707c907b9e8f4a5612251e5fccf359	0	0	0	true
60	0xc6fa90be894e878e297b629d758275a65ce1e49385869d3934c44e8e11d5a3ec	0xab027abd8f36bbf8702bd3f4c725e0e729872c366da5ccde8cc62df878ee7627	0	0	0	true
61	0xeb70ce1ef26b5d849245f0df9ba06d4d103125af7cea5beda08d89c681edf035	0xfd8194e474bb3dceb18913a6c6bd72ebeb752bf1a67050955319cf0daebdc23	0	0	0	true
62	0x176f2a31f0a5050ca19412877ab9cfaa7f47929491933cc6d1d9e3f297cf1199	0x9215123692e257f9ca8992dbc87b977232e8e5e2858f89cb8c09da6c29736c1f	0	0	0	true
63	0x58ac4d66e28ea5dbe45a25d2b37f01699a7c49f9926adf09e538d5feac9d9415	0x17e4d3b529ba7a11195b24a5d52afb5ebbfd8977f199acd822a11dfb47398518	0	0	0	true
