phase	start	end	ops	ccx	ccz	hmr	reset
tlm_inverse_gcd_forward_body	281614	285893	4279	535	2	287	289
tlm_apply_inverse_fold	285893	287613	1720	310	0	54	62
tlm_apply_inverse_swap	287613	288381	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	288381	292842	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	292842	293501	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	293501	293817	316	19	0	20	22
tlm_inverse_gcd_forward_codec	293817	293820	3	0	0	0	0
tlm_inverse_gcd_forward_shift	293820	294810	990	246	0	0	2
tlm_inverse_gcd_forward_compare	294810	296006	1196	280	0	32	33
tlm_inverse_gcd_forward_body	296006	300270	4264	533	2	286	288
tlm_apply_inverse_fold	300270	301990	1720	310	0	54	62
tlm_apply_inverse_swap	301990	302758	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	302758	307219	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	307219	307878	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	307878	308194	316	19	0	20	22
tlm_inverse_gcd_forward_codec	308194	308361	167	16	0	4	7
tlm_inverse_gcd_forward_shift	308361	309347	986	245	0	0	2
tlm_inverse_gcd_forward_compare	309347	310554	1207	280	0	33	34
tlm_inverse_gcd_forward_body	310554	314803	4249	531	2	285	287
tlm_apply_inverse_fold	314803	316523	1720	310	0	54	62
tlm_apply_inverse_swap	316523	317291	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	317291	321752	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	321752	322411	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	322411	322727	316	19	0	20	22
tlm_inverse_gcd_forward_codec	322727	322730	3	0	0	0	0
tlm_inverse_gcd_forward_shift	322730	323712	982	244	0	0	2
tlm_inverse_gcd_forward_compare	323712	324916	1204	279	0	33	34
tlm_inverse_gcd_forward_body	324916	329150	4234	529	2	284	286
tlm_apply_inverse_fold	329150	330870	1720	310	0	54	62
tlm_apply_inverse_swap	330870	331638	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	331638	336099	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	336099	336758	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	336758	337074	316	19	0	20	22
tlm_inverse_gcd_forward_codec	337074	337077	3	0	0	0	0
tlm_inverse_gcd_forward_shift	337077	338055	978	243	0	0	2
tlm_inverse_gcd_forward_compare	338055	339256	1201	278	0	33	34
tlm_inverse_gcd_forward_body	339256	343475	4219	527	2	283	285
tlm_apply_inverse_fold	343475	345195	1720	310	0	54	62
tlm_apply_inverse_swap	345195	345963	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	345963	350424	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	350424	351083	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	351083	351399	316	19	0	20	22
tlm_inverse_gcd_forward_codec	351399	351566	167	16	0	4	7
tlm_inverse_gcd_forward_shift	351566	352540	974	242	0	0	2
tlm_inverse_gcd_forward_compare	352540	353724	1184	276	0	32	33
tlm_inverse_gcd_forward_body	353724	357928	4204	525	2	282	284
tlm_apply_inverse_fold	357928	359648	1720	310	0	54	62
tlm_apply_inverse_swap	359648	360416	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	360416	364877	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	364877	365536	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	365536	365852	316	19	0	20	22
tlm_inverse_gcd_forward_codec	365852	365855	3	0	0	0	0
tlm_inverse_gcd_forward_shift	365855	366825	970	241	0	0	2
tlm_inverse_gcd_forward_compare	366825	368034	1209	277	0	34	35
tlm_inverse_gcd_forward_body	368034	372223	4189	523	2	281	283
tlm_apply_inverse_fold	372223	373943	1720	310	0	54	62
tlm_apply_inverse_swap	373943	374711	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	374711	379172	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	379172	379831	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	379831	380147	316	19	0	20	22
tlm_inverse_gcd_forward_codec	380147	380150	3	0	0	0	0
tlm_inverse_gcd_forward_shift	380150	381116	966	240	0	0	2
tlm_inverse_gcd_forward_compare	381116	382322	1206	276	0	34	35
tlm_inverse_gcd_forward_body	382322	386496	4174	521	2	280	282
tlm_apply_inverse_fold	386496	388216	1720	310	0	54	62
tlm_apply_inverse_swap	388216	388984	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	388984	393445	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	393445	394104	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	394104	394420	316	19	0	20	22
tlm_inverse_gcd_forward_codec	394420	394587	167	16	0	4	7
tlm_inverse_gcd_forward_shift	394587	395549	962	239	0	0	2
tlm_inverse_gcd_forward_compare	395549	396738	1189	274	0	33	34
tlm_inverse_gcd_forward_body	396738	400897	4159	519	2	279	281
tlm_apply_inverse_fold	400897	402617	1720	310	0	54	62
tlm_apply_inverse_swap	402617	403385	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	403385	407846	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	407846	408505	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	408505	408821	316	19	0	20	22
tlm_inverse_gcd_forward_codec	408821	408824	3	0	0	0	0
tlm_inverse_gcd_forward_shift	408824	409782	958	238	0	0	2
tlm_inverse_gcd_forward_compare	409782	410968	1186	273	0	33	34
tlm_inverse_gcd_forward_body	410968	415112	4144	517	2	278	280
tlm_apply_inverse_fold	415112	416832	1720	310	0	54	62
tlm_apply_inverse_swap	416832	417600	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	417600	422061	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	422061	422720	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	422720	423036	316	19	0	20	22
tlm_inverse_gcd_forward_codec	423036	423039	3	0	0	0	0
tlm_inverse_gcd_forward_shift	423039	423993	954	237	0	0	2
tlm_inverse_gcd_forward_compare	423993	425190	1197	273	0	34	35
tlm_inverse_gcd_forward_body	425190	429319	4129	515	2	277	279
tlm_apply_inverse_fold	429319	431039	1720	310	0	54	62
tlm_apply_inverse_swap	431039	431807	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	431807	436268	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	436268	436927	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	436927	437243	316	19	0	20	22
tlm_inverse_gcd_forward_codec	437243	437410	167	16	0	4	7
tlm_inverse_gcd_forward_shift	437410	438360	950	236	0	0	2
tlm_inverse_gcd_forward_compare	438360	439540	1180	271	0	33	34
tlm_inverse_gcd_forward_body	439540	443654	4114	513	2	276	278
tlm_apply_inverse_fold	443654	445374	1720	310	0	54	62
tlm_apply_inverse_swap	445374	446142	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	446142	450603	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	450603	451262	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	451262	451578	316	19	0	20	22
tlm_inverse_gcd_forward_codec	451578	451581	3	0	0	0	0
tlm_inverse_gcd_forward_shift	451581	452527	946	235	0	0	2
tlm_inverse_gcd_forward_compare	452527	453704	1177	270	0	33	34
tlm_inverse_gcd_forward_body	453704	457803	4099	511	2	275	277
tlm_apply_inverse_fold	457803	459523	1720	310	0	54	62
tlm_apply_inverse_swap	459523	460291	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	460291	464752	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	464752	465411	659	55	2	55	55
